timestamp,symbol,target,reason
2026-06-19 00:00:00+00:00,QQQ,2.7,buy_hold
2026-06-19 00:00:00+00:00,SPY,2.67,buy_hold
2026-06-19 00:00:00+00:00,AAPL,6.72,buy_hold
2026-06-19 00:00:00+00:00,TSLA,5.01,buy_hold
2026-06-19 00:31:00+00:00,QQQ,0.0,buy_expired
2026-06-19 00:31:00+00:00,SPY,0.0,buy_expired
2026-06-19 00:31:00+00:00,AAPL,0.0,buy_expired
2026-06-19 00:31:00+00:00,TSLA,0.0,buy_expired
2026-06-19 00:34:00+00:00,TSLA,5.0200000000000005,buy_hold
2026-06-19 00:53:00+00:00,AAPL,6.72,buy_hold
2026-06-19 01:05:00+00:00,TSLA,0.0,buy_expired
2026-06-19 01:24:00+00:00,AAPL,0.0,buy_expired
2026-06-19 01:27:00+00:00,AAPL,6.73,buy_hold
2026-06-19 01:58:00+00:00,AAPL,0.0,buy_expired
2026-06-19 02:07:00+00:00,TSLA,5.01,buy_hold
2026-06-19 02:16:00+00:00,AAPL,6.73,buy_hold
2026-06-19 02:38:00+00:00,TSLA,0.0,buy_expired
2026-06-19 02:47:00+00:00,AAPL,0.0,buy_expired
2026-06-19 03:26:00+00:00,TSLA,5.01,buy_hold
2026-06-19 03:57:00+00:00,TSLA,0.0,buy_expired
2026-06-19 04:26:00+00:00,AAPL,6.72,buy_hold
2026-06-19 04:30:00+00:00,TSLA,5.01,buy_hold
2026-06-19 04:57:00+00:00,AAPL,0.0,buy_expired
2026-06-19 05:01:00+00:00,TSLA,0.0,buy_expired
2026-06-19 05:54:00+00:00,TSLA,5.0200000000000005,buy_hold
2026-06-19 06:25:00+00:00,TSLA,0.0,buy_expired
2026-06-19 06:28:00+00:00,TSLA,5.01,buy_hold
2026-06-19 06:59:00+00:00,TSLA,0.44,buy_expired
2026-06-19 07:59:00+00:00,AAPL,6.73,buy_hold
2026-06-19 08:30:00+00:00,AAPL,0.0,buy_expired
2026-06-19 09:08:00+00:00,AAPL,6.72,buy_hold
2026-06-19 09:39:00+00:00,AAPL,0.0,buy_expired
2026-06-19 09:57:00+00:00,AAPL,6.71,buy_hold
2026-06-19 10:28:00+00:00,AAPL,0.0,buy_expired
2026-06-19 10:28:00+00:00,AAPL,6.73,buy_hold
2026-06-19 10:59:00+00:00,AAPL,0.0,buy_expired
2026-06-19 11:41:00+00:00,AAPL,6.72,buy_hold
2026-06-19 12:12:00+00:00,AAPL,0.0,buy_expired
2026-06-19 12:12:00+00:00,AAPL,6.71,buy_hold
2026-06-19 12:43:00+00:00,AAPL,0.0,buy_expired
2026-06-19 12:49:00+00:00,AAPL,6.71,buy_hold
2026-06-19 13:20:00+00:00,AAPL,0.0,buy_expired
2026-06-19 13:30:00+00:00,AAPL,6.72,buy_hold
2026-06-19 14:01:00+00:00,AAPL,0.0,buy_expired
2026-06-19 14:01:00+00:00,AAPL,6.72,buy_hold
2026-06-19 14:32:00+00:00,AAPL,0.0,buy_expired
2026-06-19 14:32:00+00:00,AAPL,6.73,buy_hold
2026-06-19 15:03:00+00:00,AAPL,0.0,buy_expired
2026-06-19 15:18:00+00:00,AAPL,6.72,buy_hold
2026-06-19 15:49:00+00:00,AAPL,0.02,buy_expired
2026-06-22 00:01:00+00:00,QQQ,2.73,buy_hold
2026-06-22 00:01:00+00:00,SPY,2.69,buy_hold
2026-08-17 00:00:00+00:00,QQQ,0.0,planned_end_exit
2026-08-17 00:00:00+00:00,SPY,0.0,planned_end_exit
2026-08-17 00:00:00+00:00,AAPL,0.0,planned_end_exit
2026-08-17 00:00:00+00:00,TSLA,0.0,planned_end_exit
