timestamp,symbol,target,reason
2026-07-01 00:00:00+00:00,TSLA,2.25,trend_entry
2026-07-02 14:33:00+00:00,TSLA,0.0,trailing_stop
2026-07-10 12:00:00+00:00,QQQ,2.7600000000000002,trend_entry
2026-07-10 12:00:00+00:00,AAPL,6.33,trend_entry
2026-07-10 16:00:00+00:00,SPY,2.64,trend_entry
2026-07-17 12:00:00+00:00,QQQ,0.0,signal_exit
2026-07-17 12:00:00+00:00,SPY,0.0,signal_exit
2026-07-24 12:00:00+00:00,AAPL,0.0,signal_exit
2026-07-31 20:00:00+00:00,QQQ,2.8000000000000003,trend_entry
2026-08-01 00:00:00+00:00,SPY,2.65,trend_entry
2026-08-01 00:00:00+00:00,TSLA,4.51,trend_entry
2026-08-01 00:31:00+00:00,SPY,0.0,buy_expired
2026-08-01 00:31:00+00:00,TSLA,0.33,buy_expired
2026-08-07 12:00:00+00:00,SPY,2.59,trend_entry
2026-08-07 12:00:00+00:00,AAPL,6.390000000000001,trend_entry
2026-08-07 12:00:00+00:00,TSLA,0.0,signal_exit
2026-08-08 00:00:00+00:00,TSLA,5.66,trend_entry
2026-08-08 00:31:00+00:00,TSLA,0.0,buy_expired
2026-08-14 12:00:00+00:00,AAPL,0.0,signal_exit
2026-08-14 12:00:00+00:00,TSLA,5.0600000000000005,trend_entry
2026-08-17 00:00:00+00:00,QQQ,0.0,planned_end_exit
2026-08-17 00:00:00+00:00,SPY,0.0,planned_end_exit
2026-08-17 00:00:00+00:00,TSLA,0.0,planned_end_exit
